StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q8,Q9,Q10
2023-03-29 12:57:14,2023-03-29 13:03:28,0,75.157.231.46,100,373,1,2023-03-29 13:03:28,R_3GjLg1gAVXwoaRp,,,,,49.2246,-123.0711,anonymous,EN,1,2,4,2,1,,3,5,"I don't think that helping another student with labs when there are limited TA resources should be considered academic misconduct. I think if it supports both students learning, which teaching others is proven to do, then it is stupid that it's considered academic misconduct. That's the only kind I have witnessed so I don't think it's a problem.",3,5,5,The only academic misconduct I have witnessed is peers helping peers with labs and problem sets. I don't think this should be considered academic misconduct at all. Teaching and talking about course concepts together is proven to improve understanding. And if the course really is about learning the content then why is something that helps students learn considered misconduct? All of those cases of acamic misconduct would not exist if they weren't considered academic misconduct at all and were instead recognized as helpful learning tools.
2023-03-29 13:06:45,2023-03-29 13:10:02,0,154.5.229.209,100,197,1,2023-03-29 13:10:03,R_1eWzxvFt5INUESR,,,,,49.1689,-123.1442,anonymous,EN,0.8999999761581421,2,3,3,1,,3,5,"gibe students less pressure on course load, more help availability from TA",3,1,1,"more help from TA. more time given to students "
2023-03-29 13:20:04,2023-03-29 13:23:23,0,24.84.206.3,100,198,1,2023-03-29 13:23:24,R_2D8t2sQKO2KI3NO,,,,,49.2155,-123.1427,anonymous,EN,1,2,1,,1,,2,"2,3",,3,1,1,"I think it would be beneficial to incentivize reporting a misconduct. There have been situations where a student caught someone else cheating on a pset and thought ""it's not worth the hassle."""
2023-03-29 13:55:50,2023-03-29 13:57:32,0,206.12.70.72,100,102,1,2023-03-29 13:57:33,R_yyWu0bxhQdv8Qtr,,,,,49.2514,-123.0972,anonymous,EN,0.8999999761581421,2,2,5,5,,1,"1,2,3,4",,3,1,1,
2023-03-29 14:23:25,2023-03-29 14:24:32,0,199.7.158.238,100,67,1,2023-03-29 14:24:32,R_3njy7qiT8fY0Kd2,,,,,49.2286,-122.9317,anonymous,EN,1,2,2,2,"1,2",,3,3,,2,3,3,
2023-03-29 14:26:43,2023-03-29 14:29:19,0,207.216.20.97,100,155,1,2023-03-29 14:29:19,R_3JyKVXbWAr7S4sN,,,,,49.2514,-123.0972,anonymous,EN,0.8999999761581421,2,2,5,"1,3",,3,"2,3,4",,4,2,2,
2023-03-29 14:33:21,2023-03-29 14:34:58,0,128.189.211.220,100,97,1,2023-03-29 14:34:59,R_WlGT18swr6Gr0YN,,,,,49.4635,-122.822,anonymous,EN,0.8999999761581421,2,4,4,,,3,2,,2,2,2,
2023-03-29 14:35:53,2023-03-29 14:36:58,0,128.189.74.71,100,65,1,2023-03-29 14:36:58,R_3iEUEUSGWRnxG71,,,,,49.4635,-122.822,anonymous,EN,0.8999999761581421,2,1,3,"1,2,4",,2,"1,2,3,4",,5,1,1,
2023-03-29 14:53:28,2023-03-29 14:57:25,0,206.12.180.158,100,237,1,2023-03-29 14:57:26,R_2ZPSfoU31Rr3bnk,,,,,49.4635,-122.822,anonymous,EN,1,1,2,3,"1,4",,2,"2,4",,2,3,2,"I'd probably make more unique problem sets, I do get that it's due to grading purposes but this will really reduce the amount of cheating"
2023-03-29 15:01:07,2023-03-29 15:02:44,0,206.12.137.205,100,97,1,2023-03-29 15:02:44,R_diMNSkJxrrFCgx3,,,,,49.245,-123.1337,anonymous,EN,1,1,1,3,"1,2",,3,"1,2,3,4",,2,2,2,
2023-03-29 15:06:49,2023-03-29 15:09:20,0,206.87.219.90,100,150,1,2023-03-29 15:09:22,R_2uCIhXlu71RFTvo,,,,,49.4635,-122.822,anonymous,EN,0.8999999761581421,1,1,1,"1,2,4,5","chatting in group chats and sharing code, likely collaboration over problem sets through social media",3,"1,2,3,4,5","something to deter repetitive use of problem set solutions- when we altered the Data Definition name in problem set 7, that was very helpful in detecting a slew of cases. i believe a lot of problem set misconduct is going undetected and we need to address this.",3,2,2,"if we can invigilate students during exams through monitoring their monitors or having them take exams via provided computers, that'd be great (although i know we have very limited resources)"
2023-03-29 14:49:51,2023-03-29 15:13:17,0,108.172.242.80,100,1405,1,2023-03-29 15:13:17,R_DrdWKV4mDDDxakV,,,,,49.2666,-123.1976,anonymous,EN,0.8999999761581421,1,2,2,"1,2,3,4,5",Students collaborating to complete assignments and exams instead of individually,1,"2,4",,1,1,2,"Invest in plugins and other software architecture that would make it more difficult to cheat and easier to catch cheaters, such as color-coding files so exam proctors can easily identify files that shouldn't be there."
2023-03-29 15:08:58,2023-03-29 15:40:36,0,66.183.36.135,100,1897,1,2023-03-29 15:40:36,R_ALoE5RYzDuxFcRP,,,,,49.3351,-123.1981,anonymous,EN,0.8999999761581421,1,1,2,"1,2",,3,"2,3,4",,1,1,1,
2023-03-29 15:46:37,2023-03-29 15:47:50,0,66.183.71.117,100,72,1,2023-03-29 15:47:51,R_3RkeHEmUT7X634d,,,,,49.213,-123.0951,anonymous,EN,1,1,2,3,"1,4",,1,"1,2,3,4",,2,2,2,
2023-03-29 16:09:48,2023-03-29 16:11:32,0,75.154.251.60,100,104,1,2023-03-29 16:11:32,R_1fZT5zRZDCNozEH,,,,,49.2666,-123.1976,anonymous,EN,1,2,3,5,5,n/a,3,1,,5,1,1,n/a
2023-03-29 16:47:40,2023-03-29 16:50:41,0,72.143.239.206,100,180,1,2023-03-29 16:50:41,R_1LnbCItM6HbJy39,,,,,49.2556,-123.062,anonymous,EN,1,2,2,2,5,"Ask people who have done their pset to add their name on it to make it as group submission but not actually doing any work ",3,3,,3,2,1,Make the final easier but the difficult level should be almost at the same level between terms.
2023-03-29 16:49:33,2023-03-29 16:52:16,0,72.143.216.17,100,163,1,2023-03-29 16:52:17,R_QcrG2v8VgHRecX7,,,,,49.1865,-122.8772,anonymous,EN,0.8999999761581421,1,2,3,"1,2",,1,"1,3",,2,3,3,
2023-03-29 17:18:12,2023-03-29 17:22:31,0,99.199.24.252,100,258,1,2023-03-29 17:22:31,R_3KuLpWiARCLBKz8,,,,,49.2292,-122.9932,anonymous,EN,1,2,1,4,4,,2,"3,4",,3,2,2,"I think the problem is that it is too easy to cheat and too hard to get caught. I'm not sure how the detection system can be improved but maybe you can have a couple different versions of homework/exams to make cheating harder. "
2023-03-30 11:26:10,2023-03-30 11:33:21,0,50.68.15.230,100,430,1,2023-03-30 11:33:21,R_10rcmyGK3jfUPXu,,,,,49.2514,-123.0972,anonymous,EN,1,2,1,2,"1,2,4",,2,"2,3,4",,4,3,2,"Eliminating academic misconduct for labs, problem sets and lecture starters is probably not possible.  Attention should be focused on better preventing academic misconduct during exams.  Access to a live internet connection during exams provides the opportunity for racket starter files to be sent/received.  "
2023-03-30 12:47:49,2023-03-30 12:49:22,0,172.103.234.48,100,93,1,2023-03-30 12:49:23,R_3Kq4BVdo8ZeHVa8,,,,,49.2643,-123.0961,anonymous,EN,1,2,4,5,5,I saw none.,3,1,,4,1,2,
2023-03-30 16:03:18,2023-03-30 16:04:43,0,64.114.29.164,100,85,1,2023-03-30 16:04:44,R_Yb2vVOtnxZqOK2t,,,,,49.2293,-123.1882,anonymous,EN,0.8999999761581421,2,3,4,1,,1,"1,4",,4,3,3,
